Timestamp,From_Bank,From_Account,To_Bank,To_Account,Amount_Paid,Payment_Currency,Amount_Received,Receiving_Currency,Payment_Format,Transaction_Type,Is_Laundering,PEP_Flag,Sanctions_Flag
2024-04-01 19:31:18,Bank_04,ACC-1032,Bank_12,EXT-9002,268.97,CAD,268.97,CAD,Debit Card,Withdrawal,0,0,0
2024-04-01 19:49:41,Bank_06,ACC-1099,Bank_12,EXT-9008,885.89,CAD,885.89,CAD,Credit Card,Deposit,0,0,0
2024-04-01 20:23:12,Bank_11,ACC-1183,Bank_09,EXT-9022,84.13,CAD,84.13,CAD,Crypto,Deposit,0,0,0
2024-04-01 20:36:27,Bank_11,ACC-1187,Bank_10,EXT-9011,326.8,CAD,326.8,CAD,Bank Transfer,Deposit,0,0,0
2024-04-01 21:06:14,Bank_03,ACC-1288,Bank_01,EXT-9031,360.88,CAD,360.88,CAD,Credit Card,Deposit,0,0,0
2024-04-01 21:08:54,Bank_03,ACC-1020,Bank_06,EXT-9035,740.38,CAD,740.38,CAD,Bank Transfer,Withdrawal,0,0,0
2024-04-01 21:23:07,Bank_06,ACC-1036,Bank_06,EXT-9019,389.75,CAD,389.75,CAD,Crypto,Deposit,0,0,0
2024-04-01 22:03:05,Bank_08,ACC-1148,Bank_05,EXT-9003,48.97,CAD,48.97,CAD,Crypto,Deposit,0,0,0
2024-04-01 22:04:22,Bank_08,ACC-1127,Bank_08,EXT-9021,336.3,CAD,336.3,CAD,Credit Card,Deposit,0,0,0
2024-04-01 22:08:25,Bank_04,ACC-1171,Bank_07,EXT-9012,269.2,CAD,269.2,CAD,Bank Transfer,Withdrawal,0,0,0
2024-04-01 22:22:33,Bank_06,ACC-1035,Bank_11,EXT-9030,33.02,CAD,33.02,CAD,Bank Transfer,Deposit,0,0,0
2024-04-01 22:42:34,Bank_09,ACC-1217,Bank_07,EXT-9016,478.22,CAD,478.22,CAD,Interac e-Transfer,Deposit,0,0,0
2024-04-02 00:00:00,Bank_10,ACC-1091,Bank_03,EXT-9001,2975.11,CAD,2975.11,CAD,Debit Card,Withdrawal,1,0,1
2024-04-02 00:10:40,Bank_04,ACC-1226,Bank_07,EXT-9003,923.78,CAD,923.78,CAD,Crypto,Withdrawal,0,0,0
2024-04-02 00:54:55,Bank_03,ACC-1254,Bank_03,EXT-9021,157.49,CAD,157.49,CAD,Interac e-Transfer,Deposit,0,0,0
2024-04-02 02:44:40,Bank_01,ACC-1213,Bank_01,EXT-9012,152.95,CAD,152.95,CAD,Crypto,Deposit,0,0,0
2024-04-02 02:46:07,Bank_09,ACC-1122,Bank_03,EXT-9017,107.53,CAD,107.53,CAD,Bank Transfer,Withdrawal,0,0,0
2024-04-02 02:56:31,Bank_02,ACC-1182,Bank_01,EXT-9004,329.11,CAD,329.11,CAD,Bank Transfer,Withdrawal,0,0,0
2024-04-02 03:22:36,Bank_03,ACC-1095,Bank_12,EXT-9019,154.08,CAD,154.08,CAD,Bank Transfer,Withdrawal,0,0,0
2024-04-02 04:00:00,Bank_06,ACC-1026,Bank_12,EXT-9035,9403.35,CAD,9403.35,CAD,Credit Card,Deposit,1,0,0
2024-04-02 04:03:22,Bank_12,ACC-1215,Bank_08,EXT-9006,714.3,CAD,714.3,CAD,Crypto,Withdrawal,0,0,0
2024-04-02 04:05:09,Bank_05,ACC-1052,Bank_03,EXT-9002,2010.7,CAD,2010.7,CAD,Interac e-Transfer,Deposit,0,0,0
2024-04-02 04:09:52,Bank_02,ACC-1270,Bank_08,EXT-9022,160.69,CAD,160.69,CAD,Crypto,Withdrawal,0,0,0
2024-04-02 05:08:04,Bank_12,ACC-1288,Bank_12,EXT-9010,88.88,CAD,88.88,CAD,Prepaid Card,Deposit,0,0,0
2024-04-02 05:27:16,Bank_09,ACC-1236,Bank_10,EXT-9024,247.35,CAD,247.35,CAD,Debit Card,Deposit,0,0,0
2024-04-02 05:52:26,Bank_12,ACC-1124,Bank_10,EXT-9026,292.62,CAD,292.62,CAD,Prepaid Card,Deposit,0,0,0
2024-04-02 06:10:36,Bank_01,ACC-1277,Bank_10,EXT-9036,75.97,CAD,75.97,CAD,Bank Transfer,Withdrawal,0,0,0
2024-04-02 06:14:35,Bank_09,ACC-1087,Bank_01,EXT-9032,74.84,CAD,74.84,CAD,Credit Card,Withdrawal,0,0,0
2024-04-02 06:27:45,Bank_11,ACC-1168,Bank_02,EXT-9018,349.8,CAD,349.8,CAD,Debit Card,Deposit,0,0,0
2024-04-02 06:37:07,Bank_01,ACC-1141,Bank_03,EXT-9009,1747.83,CAD,1747.83,CAD,Crypto,Deposit,1,0,1
2024-04-02 07:02:28,Bank_03,ACC-1146,Bank_09,EXT-9035,488.12,CAD,488.12,CAD,Interac e-Transfer,Withdrawal,0,0,0
2024-04-02 07:31:32,Bank_04,ACC-1233,Bank_08,EXT-9016,352.31,CAD,352.31,CAD,Bank Transfer,Withdrawal,0,0,0
2024-04-02 08:10:45,Bank_07,ACC-1138,Bank_08,EXT-9020,1413.31,CAD,1413.31,CAD,Crypto,Withdrawal,0,0,0
2024-04-02 08:12:30,Bank_09,ACC-1058,Bank_12,EXT-9007,57.24,CAD,57.24,CAD,Debit Card,Deposit,0,0,0
2024-04-02 08:42:24,Bank_06,ACC-1050,Bank_01,EXT-9009,235.02,CAD,235.02,CAD,Debit Card,Deposit,0,0,0
2024-04-02 08:54:31,Bank_05,ACC-1167,Bank_04,EXT-9006,458.29,CAD,458.29,CAD,Bank Transfer,Deposit,0,0,0
2024-04-02 09:07:01,Bank_11,ACC-1030,Bank_02,EXT-9009,595.25,CAD,595.25,CAD,Debit Card,Deposit,0,0,0
2024-04-02 09:10:30,Bank_09,ACC-1136,Bank_08,EXT-9017,221.75,CAD,221.75,CAD,Interac e-Transfer,Withdrawal,0,0,0
2024-04-02 09:37:34,Bank_08,ACC-1089,Bank_12,EXT-9037,312.23,CAD,312.23,CAD,Credit Card,Deposit,0,0,0
2024-04-02 10:00:00,Bank_01,ACC-1044,Bank_05,EXT-9015,13800.72,CAD,13800.72,CAD,Credit Card,Deposit,1,0,0
2024-04-02 11:48:25,Bank_02,ACC-1203,Bank_12,EXT-9034,202.76,CAD,202.76,CAD,Debit Card,Deposit,0,0,0
2024-04-02 12:08:17,Bank_05,ACC-1160,Bank_07,EXT-9012,150.6,CAD,150.6,CAD,Interac e-Transfer,Withdrawal,0,0,0
2024-04-02 12:23:48,Bank_07,ACC-1104,Bank_11,EXT-9008,162.48,CAD,162.48,CAD,Crypto,Deposit,0,0,0
2024-04-02 12:44:53,Bank_07,ACC-1139,Bank_11,EXT-9020,1266.87,CAD,1266.87,CAD,Crypto,Withdrawal,0,0,0
2024-04-02 13:07:26,Bank_11,ACC-1006,Bank_02,EXT-9011,1459.17,CAD,1459.17,CAD,Credit Card,Deposit,0,0,0
2024-04-02 13:10:56,Bank_05,ACC-1083,Bank_06,EXT-9004,262.99,CAD,262.99,CAD,Bank Transfer,Deposit,0,0,0
2024-04-02 14:03:22,Bank_11,ACC-1186,Bank_12,EXT-9035,274.18,CAD,274.18,CAD,Debit Card,Deposit,0,0,0
2024-04-02 14:38:47,Bank_09,ACC-1063,Bank_11,EXT-9000,131.16,CAD,131.16,CAD,Credit Card,Withdrawal,0,0,0
2024-04-02 15:00:00,Bank_12,ACC-1044,Bank_06,EXT-9030,13208.67,CAD,13208.67,CAD,Crypto,Withdrawal,1,0,0
2024-04-02 15:05:19,Bank_04,ACC-1226,Bank_11,EXT-9004,992.64,CAD,992.64,CAD,Debit Card,Deposit,0,0,0
2024-04-02 15:19:37,Bank_02,ACC-1108,Bank_08,EXT-9026,93.34,CAD,93.34,CAD,Interac e-Transfer,Deposit,0,0,0
2024-04-02 15:36:06,Bank_02,ACC-1110,Bank_09,EXT-9039,82.41,CAD,82.41,CAD,Bank Transfer,Deposit,0,0,0
2024-04-02 16:05:14,Bank_04,ACC-1142,Bank_08,EXT-9035,1261.88,CAD,1261.88,CAD,Crypto,Deposit,0,0,0
2024-04-02 16:33:49,Bank_01,ACC-1021,Bank_01,EXT-9016,195.61,CAD,195.61,CAD,Prepaid Card,Deposit,0,0,0
2024-04-02 16:45:35,Bank_09,ACC-1278,Bank_05,EXT-9020,119.84,CAD,119.84,CAD,Interac e-Transfer,Withdrawal,0,0,0
2024-04-02 16:57:04,Bank_05,ACC-1100,Bank_09,EXT-9019,271.12,CAD,271.12,CAD,Interac e-Transfer,Withdrawal,0,0,0
2024-04-02 17:51:45,Bank_04,ACC-1079,Bank_07,EXT-9030,177.92,CAD,177.92,CAD,Bank Transfer,Deposit,0,0,0
2024-04-02 18:41:49,Bank_11,ACC-1295,Bank_11,EXT-9011,182.77,CAD,182.77,CAD,Prepaid Card,Deposit,0,0,0
2024-04-02 18:51:36,Bank_10,ACC-1184,Bank_10,EXT-9023,834.59,CAD,834.59,CAD,Bank Transfer,Deposit,0,0,0
2024-04-02 19:00:44,Bank_04,ACC-1099,Bank_02,EXT-9012,101.42,CAD,101.42,CAD,Debit Card,Deposit,0,0,0
2024-04-02 19:03:58,Bank_09,ACC-1182,Bank_11,EXT-9002,234.92,CAD,234.92,CAD,Interac e-Transfer,Deposit,0,0,0
2024-04-02 20:51:57,Bank_05,ACC-1291,Bank_08,EXT-9005,154.11,CAD,154.11,CAD,Credit Card,Deposit,0,0,0
2024-04-02 20:58:39,Bank_11,ACC-1276,Bank_11,EXT-9006,465.05,CAD,465.05,CAD,Credit Card,Withdrawal,0,0,0
2024-04-02 21:03:55,Bank_11,ACC-1203,Bank_10,EXT-9001,466.17,CAD,466.17,CAD,Credit Card,Deposit,0,0,0
2024-04-02 21:11:33,Bank_10,ACC-1261,Bank_08,EXT-9002,356.05,CAD,356.05,CAD,Interac e-Transfer,Deposit,0,0,0
2024-04-02 21:37:22,Bank_07,ACC-1061,Bank_08,EXT-9000,599.21,CAD,599.21,CAD,Bank Transfer,Deposit,0,0,0
2024-04-02 21:57:35,Bank_04,ACC-1090,Bank_07,EXT-9017,732.26,CAD,732.26,CAD,Prepaid Card,Deposit,0,1,0
2024-04-02 22:00:00,Bank_11,ACC-1026,Bank_08,EXT-9009,9756.71,CAD,9756.71,CAD,Credit Card,Deposit,1,0,0
2024-04-02 22:05:15,Bank_11,ACC-1006,Bank_04,EXT-9003,397.7,CAD,397.7,CAD,Interac e-Transfer,Deposit,0,0,0
2024-04-02 22:12:33,Bank_04,ACC-1117,Bank_01,EXT-9004,682.79,CAD,682.79,CAD,Crypto,Deposit,0,0,0
2024-04-02 22:41:25,Bank_02,ACC-1261,Bank_02,EXT-9006,681.81,CAD,681.81,CAD,Prepaid Card,Withdrawal,0,0,0
2024-04-02 22:52:25,Bank_03,ACC-1147,Bank_02,EXT-9028,158.6,CAD,158.6,CAD,Interac e-Transfer,Withdrawal,0,0,0
2024-04-02 22:57:08,Bank_01,ACC-1056,Bank_10,EXT-9017,187.84,CAD,187.84,CAD,Interac e-Transfer,Deposit,0,0,0
2024-04-02 23:17:23,Bank_04,ACC-1123,Bank_11,EXT-9035,243.79,CAD,243.79,CAD,Debit Card,Withdrawal,0,0,0
2024-04-02 23:37:17,Bank_07,ACC-1033,Bank_08,EXT-9023,41.9,CAD,41.9,CAD,Interac e-Transfer,Deposit,0,0,0
2024-04-02 23:37:48,Bank_03,ACC-1266,Bank_11,EXT-9037,373.27,CAD,373.27,CAD,Bank Transfer,Deposit,0,0,0
2024-04-03 00:00:00,Bank_04,ACC-2002,Bank_08,EXT-9014,237.31,CAD,237.31,CAD,Debit Card,Deposit,0,0,0
2024-04-03 00:40:21,Bank_05,ACC-1207,Bank_08,EXT-9019,99.24,CAD,99.24,CAD,Prepaid Card,Withdrawal,0,0,0
2024-04-03 00:56:00,Bank_05,ACC-1130,Bank_09,EXT-9030,153.89,CAD,153.89,CAD,Interac e-Transfer,Withdrawal,0,0,0
2024-04-03 01:10:52,Bank_05,ACC-1030,Bank_07,EXT-9025,201.04,CAD,201.04,CAD,Prepaid Card,Withdrawal,0,0,0
2024-04-03 01:27:55,Bank_11,ACC-1096,Bank_11,EXT-9014,260.52,CAD,260.52,CAD,Crypto,Withdrawal,0,0,0
2024-04-03 01:28:34,Bank_08,ACC-1063,Bank_07,EXT-9003,61.76,CAD,61.76,CAD,Credit Card,Withdrawal,0,0,0
2024-04-03 01:42:11,Bank_04,ACC-1163,Bank_02,EXT-9024,41.41,CAD,41.41,CAD,Credit Card,Withdrawal,0,0,0
2024-04-03 02:38:19,Bank_05,ACC-1120,Bank_05,EXT-9022,15.71,CAD,15.71,CAD,Credit Card,Withdrawal,0,0,0
2024-04-03 03:09:07,Bank_01,ACC-1040,Bank_09,EXT-9025,83.48,CAD,83.48,CAD,Debit Card,Withdrawal,0,0,0
2024-04-03 03:10:25,Bank_04,ACC-1236,Bank_02,EXT-9029,39.2,CAD,39.2,CAD,Interac e-Transfer,Withdrawal,0,0,0
2024-04-03 03:23:07,Bank_03,ACC-1090,Bank_04,EXT-9018,762.08,CAD,762.08,CAD,Interac e-Transfer,Deposit,0,1,0
2024-04-03 03:43:48,Bank_08,ACC-1094,Bank_02,EXT-9027,78.5,CAD,78.5,CAD,Crypto,Deposit,0,0,0
2024-04-03 03:44:38,Bank_11,ACC-1055,Bank_11,EXT-9008,222.32,CAD,222.32,CAD,Prepaid Card,Deposit,0,0,0
2024-04-03 03:45:18,Bank_05,ACC-1298,Bank_05,EXT-9037,118.56,CAD,118.56,CAD,Interac e-Transfer,Deposit,0,0,0
2024-04-03 04:22:32,Bank_06,ACC-1117,Bank_08,EXT-9031,2107.94,CAD,2107.94,CAD,Prepaid Card,Deposit,0,0,0
2024-04-03 04:31:34,Bank_09,ACC-1292,Bank_08,EXT-9016,133.11,CAD,133.11,CAD,Debit Card,Deposit,0,0,0
2024-04-03 04:34:25,Bank_09,ACC-1184,Bank_05,EXT-9033,163.02,CAD,163.02,CAD,Bank Transfer,Deposit,0,0,0
2024-04-03 05:15:44,Bank_06,ACC-1148,Bank_08,EXT-9001,49324.6,CAD,49324.6,CAD,Crypto,Withdrawal,1,0,0
2024-04-03 05:29:09,Bank_05,ACC-1131,Bank_05,EXT-9023,132.43,CAD,132.43,CAD,Credit Card,Withdrawal,0,0,0
2024-04-03 06:00:00,Bank_03,ACC-1131,Bank_10,EXT-9029,10242.68,CAD,10242.68,CAD,Interac e-Transfer,Deposit,1,0,0
2024-04-03 06:26:45,Bank_08,ACC-1286,Bank_04,EXT-9007,955.71,CAD,955.71,CAD,Debit Card,Withdrawal,0,0,0
2024-04-03 06:41:27,Bank_12,ACC-1199,Bank_02,EXT-9027,438.69,CAD,438.69,CAD,Crypto,Deposit,0,0,0
2024-04-03 07:11:27,Bank_10,ACC-1033,Bank_09,EXT-9027,564.32,CAD,564.32,CAD,Bank Transfer,Deposit,0,0,0
2024-04-03 07:30:31,Bank_05,ACC-1218,Bank_12,EXT-9003,293.65,CAD,293.65,CAD,Debit Card,Deposit,0,0,0
2024-04-03 07:53:55,Bank_03,ACC-1211,Bank_07,EXT-9000,100.75,CAD,100.75,CAD,Bank Transfer,Withdrawal,0,0,0
2024-04-03 08:08:13,Bank_08,ACC-1219,Bank_07,EXT-9008,96.14,CAD,96.14,CAD,Credit Card,Deposit,0,0,0
2024-04-03 08:17:27,Bank_09,ACC-1136,Bank_07,EXT-9031,1091.94,CAD,1091.94,CAD,Prepaid Card,Deposit,0,0,0
2024-04-03 08:23:03,Bank_08,ACC-1008,Bank_04,EXT-9005,158.43,CAD,158.43,CAD,Credit Card,Withdrawal,0,0,0
2024-04-03 08:37:22,Bank_05,ACC-1108,Bank_10,EXT-9000,88.03,CAD,88.03,CAD,Bank Transfer,Deposit,0,0,0
2024-04-03 08:53:54,Bank_06,ACC-1062,Bank_08,EXT-9039,86.78,CAD,86.78,CAD,Debit Card,Deposit,0,0,0
2024-04-03 09:38:54,Bank_06,ACC-1242,Bank_03,EXT-9038,169.96,CAD,169.96,CAD,Bank Transfer,Deposit,0,0,0
2024-04-03 10:00:00,Bank_03,ACC-1131,Bank_04,EXT-9012,10009.11,CAD,10009.11,CAD,Crypto,Withdrawal,1,0,0
2024-04-03 10:43:37,Bank_09,ACC-1265,Bank_09,EXT-9012,173.55,CAD,173.55,CAD,Prepaid Card,Withdrawal,0,0,0
2024-04-03 10:49:39,Bank_02,ACC-1185,Bank_07,EXT-9000,503.81,CAD,503.81,CAD,Debit Card,Withdrawal,0,0,0
2024-04-03 11:05:33,Bank_05,ACC-1088,Bank_10,EXT-9015,118.37,CAD,118.37,CAD,Crypto,Withdrawal,0,0,0
2024-04-03 11:16:25,Bank_09,ACC-1275,Bank_07,EXT-9031,444.5,CAD,444.5,CAD,Crypto,Deposit,0,0,0
2024-04-03 11:35:13,Bank_12,ACC-1178,Bank_11,EXT-9001,1151.39,CAD,1151.39,CAD,Prepaid Card,Deposit,0,1,0
2024-04-03 11:39:14,Bank_05,ACC-1216,Bank_06,EXT-9017,211.49,CAD,211.49,CAD,Bank Transfer,Withdrawal,0,0,0
2024-04-03 12:09:50,Bank_09,ACC-1104,Bank_02,EXT-9014,193.13,CAD,193.13,CAD,Credit Card,Deposit,0,0,0
2024-04-03 12:25:06,Bank_04,ACC-1240,Bank_11,EXT-9017,286.36,CAD,286.36,CAD,Debit Card,Deposit,0,0,0
2024-04-03 12:45:26,Bank_03,ACC-1285,Bank_09,EXT-9007,447.17,CAD,447.17,CAD,Debit Card,Deposit,0,0,0
2024-04-03 13:16:00,Bank_08,ACC-1271,Bank_04,EXT-9037,403.62,CAD,403.62,CAD,Credit Card,Deposit,0,0,0
2024-04-03 13:18:17,Bank_03,ACC-1010,Bank_10,EXT-9009,618.78,CAD,618.78,CAD,Crypto,Withdrawal,1,0,1
2024-04-03 13:30:28,Bank_08,ACC-1131,Bank_04,EXT-9013,129.46,CAD,129.46,CAD,Credit Card,Deposit,0,0,0
2024-04-03 14:11:46,Bank_12,ACC-1102,Bank_11,EXT-9001,272.45,CAD,272.45,CAD,Prepaid Card,Withdrawal,0,0,0
2024-04-03 15:00:00,Bank_04,ACC-1026,Bank_11,EXT-9006,9485.39,CAD,9485.39,CAD,Interac e-Transfer,Deposit,1,0,0
2024-04-03 15:21:51,Bank_06,ACC-1020,Bank_06,EXT-9015,395.32,CAD,395.32,CAD,Credit Card,Deposit,0,0,0
2024-04-03 15:33:32,Bank_06,ACC-1088,Bank_02,EXT-9031,312.6,CAD,312.6,CAD,Credit Card,Withdrawal,0,0,0
2024-04-03 17:29:20,Bank_02,ACC-1169,Bank_03,EXT-9003,454.04,CAD,454.04,CAD,Prepaid Card,Withdrawal,0,0,0
2024-04-03 17:30:05,Bank_05,ACC-1157,Bank_08,EXT-9020,305.56,CAD,305.56,CAD,Debit Card,Withdrawal,0,0,0
2024-04-03 17:48:59,Bank_02,ACC-1075,Bank_04,EXT-9012,213.32,CAD,213.32,CAD,Debit Card,Deposit,0,0,0
2024-04-03 17:55:27,Bank_09,ACC-1093,Bank_01,EXT-9004,415.23,CAD,415.23,CAD,Debit Card,Deposit,0,0,0
2024-04-03 17:59:55,Bank_09,ACC-1147,Bank_07,EXT-9019,54.46,CAD,54.46,CAD,Interac e-Transfer,Withdrawal,0,0,0
2024-04-03 18:56:53,Bank_12,ACC-1000,Bank_11,EXT-9031,324.6,CAD,324.6,CAD,Interac e-Transfer,Deposit,0,0,0
2024-04-03 18:58:36,Bank_03,ACC-1167,Bank_08,EXT-9037,1347.29,CAD,1347.29,CAD,Credit Card,Withdrawal,0,0,0
2024-04-03 19:18:39,Bank_06,ACC-1119,Bank_11,EXT-9007,1378.84,CAD,1378.84,CAD,Bank Transfer,Deposit,0,0,0
2024-04-03 19:26:02,Bank_03,ACC-1050,Bank_08,EXT-9016,193.06,CAD,193.06,CAD,Bank Transfer,Withdrawal,0,0,0
2024-04-03 19:32:22,Bank_06,ACC-1149,Bank_08,EXT-9020,116.03,CAD,116.03,CAD,Interac e-Transfer,Withdrawal,0,0,0
2024-04-03 20:07:02,Bank_01,ACC-1253,Bank_10,EXT-9017,305.85,CAD,305.85,CAD,Crypto,Deposit,0,0,0
2024-04-03 20:18:34,Bank_09,ACC-1134,Bank_01,EXT-9029,313.89,CAD,313.89,CAD,Debit Card,Deposit,0,0,0
2024-04-03 20:33:33,Bank_06,ACC-1223,Bank_08,EXT-9030,72.49,CAD,72.49,CAD,Debit Card,Deposit,0,0,0
2024-04-03 21:08:15,Bank_07,ACC-1054,Bank_12,EXT-9025,103.25,CAD,103.25,CAD,Debit Card,Deposit,0,1,0
2024-04-03 22:36:22,Bank_06,ACC-1240,Bank_11,EXT-9038,406.56,CAD,406.56,CAD,Debit Card,Deposit,0,0,0
2024-04-03 23:19:03,Bank_09,ACC-1113,Bank_11,EXT-9003,247.04,CAD,247.04,CAD,Interac e-Transfer,Deposit,0,0,0
2024-04-03 23:46:58,Bank_07,ACC-1133,Bank_07,EXT-9027,200.41,CAD,200.41,CAD,Bank Transfer,Withdrawal,0,0,0
2024-04-04 00:00:00,Bank_01,ACC-1010,Bank_02,EXT-9031,13817.01,CAD,13817.01,CAD,Debit Card,Withdrawal,1,0,1
2024-04-04 00:00:00,Bank_12,ACC-2005,Bank_01,EXT-9004,89.79,CAD,89.79,CAD,Credit Card,Deposit,0,0,0
2024-04-04 00:12:04,Bank_09,ACC-1102,Bank_04,EXT-9024,56.48,CAD,56.48,CAD,Interac e-Transfer,Deposit,0,0,0
